Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
AK Markram (SA),2019-2026,77,73,11,1966,86*,31.7,1332,147.59,0,14,2,183,83,
Sohail Ahmed (BHR),2022-2026,79,74,28,1957,80*,42.54,1644,119.03,0,16,6,129,81,
LRPL Taylor (NZ/Samoa),2006-2025,106,97,22,1954,63,26.05,1611,121.29,0,7,6,123,72,
Ahmed Faiz (MAS),2019-2026,106,89,9,1952,105*,24.4,1603,121.77,1,8,6,148,74,
RP Burl (ZIM),2018-2026,118,109,32,1948,67*,25.29,1559,124.95,0,4,5,139,80,
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,
TP Ura (PNG),2015-2026,66,65,9,1900,107*,33.92,1211,156.89,2,16,4,139,112,
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124,
HT Tector (IRE),2019-2026,100,92,16,1898,96*,24.97,1561,121.58,0,9,7,158,44,
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62,
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,
BJ Bennett (ZIM),2023-2026,58,58,6,1888,111,36.3,1314,143.68,1,12,3,215,58,
DJ Mitchell (NZ),2019-2026,104,90,20,1879,72*,26.84,1337,140.53,0,8,2,129,73,
K Kadowaki-Fleming (JPN),2022-2026,55,54,5,1871,114,38.18,1342,139.41,2,12,1,142,94,
Ibrahim Zadran (AFG),2019-2026,65,65,9,1865,95*,33.3,1624,114.83,0,16,1,172,45,
Bilal Zalmai (AUT),2019-2026,69,67,8,1864,111*,31.59,1149,162.22,1,13,3,187,112,
Meet Bhavsar (KUW),2019-2026,76,74,7,1855,89,27.68,1431,129.62,0,13,4,157,65,
RK Paudel (NEP),2019-2026,84,80,16,1845,69*,28.82,1507,122.42,0,9,2,144,60,
DP Conway (NZ),2020-2026,69,63,11,1839,99*,35.36,1430,128.6,0,13,3,178,52,
A Sharafu (UAE),2020-2026,71,67,9,1835,90*,31.63,1397,131.35,0,14,1,173,78,
Najibullah Zadran (AFG),2012-2024,107,95,33,1830,73,29.51,1328,137.8,0,8,6,126,97,
SC Williams (ZIM),2006-2025,85,84,8,1805,77,23.75,1407,128.28,0,12,7,178,44,
E Lewis (WI),2016-2026,67,66,4,1799,125*,29.01,1183,152.07,2,13,6,137,136,
LJ Tucker (IRE),2016-2026,93,87,9,1795,94*,23.01,1450,123.79,0,12,8,168,46,
Aasif Sheikh (NEP),2021-2026,76,75,3,1790,69,24.86,1463,122.35,0,11,4,163,74,
S Dhawan (IND),2011-2021,68,66,3,1759,92,27.92,1392,126.36,0,11,2,191,50,
Tamim Iqbal (BAN/ICC/World),2007-2020,78,78,5,1758,103*,24.08,1503,116.96,1,7,6,188,45,
Faisal Khan (KSA),2019-2025,61,61,5,1743,101,31.12,1005,173.43,1,10,7,180,106,
SD Hope (WI),2017-2026,70,68,10,1743,102*,30.05,1276,136.59,1,12,5,136,92,
CO Obuya (KENYA),2007-2024,75,70,12,1742,96*,30.03,1460,119.31,0,9,6,127,84,
C Munro (NZ),2012-2020,65,62,7,1724,109*,31.34,1102,156.44,3,11,5,132,107,
PD Salt (ENG),2022-2026,62,57,6,1717,141*,33.66,1036,165.73,4,8,7,170,83,
D Ndikubwimana (RWN),2021-2026,104,98,8,1699,82*,18.87,1971,86.19,0,9,8,159,31,
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26.0,1377,122.73,0,8,10,122,55,
TH David (AUS/SGP),2019-2026,74,63,15,1679,102*,34.97,997,168.4,1,9,5,129,109,
SO Hetmyer (WI),2018-2026,85,75,7,1678,85,24.67,1195,140.41,0,9,4,112,104,
Fiaz Ahmed (BHR),2019-2026,72,68,16,1677,105*,32.25,1370,122.4,1,8,7,106,90,
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,
JM Bairstow (ENG),2011-2024,80,72,16,1671,90,29.83,1215,137.53,0,10,6,148,76,
FH Allen (NZ),2021-2026,62,61,3,1663,137,28.67,974,170.73,3,7,5,146,115,
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65,
Abdul Waheed (KSA),2020-2025,60,57,7,1644,110,32.88,1268,129.65,1,8,1,163,52,
II Selemani (TAN),2021-2026,68,67,4,1640,110,26.03,1081,151.71,1,8,6,179,87,
Jatinder Singh (OMA),2015-2026,76,76,7,1635,73*,23.69,1358,120.39,0,9,4,179,35,
K Motlhanka (BOT),2019-2026,64,61,7,1629,112*,30.16,1482,109.91,1,9,2,173,31,
R Satheesan (ROM),2019-2026,60,56,7,1623,99*,33.12,1079,150.41,0,12,8,161,83,
MS Dhoni (IND),2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,
MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69,
Riazat Ali Shah (UGA),2019-2025,77,67,19,1606,98*,33.45,1298,123.72,0,5,4,119,69,
SK Raina (IND),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,
GA Priandana (INA),2022-2026,90,87,10,1598,78*,20.75,1532,104.3,0,8,10,159,51,
Abhishek Sharma (IND),2024-2026,50,49,2,1589,135,33.8,824,192.83,2,11,7,160,103,
P Kurup (BHR),2021-2026,68,66,6,1579,74,26.31,1439,109.72,0,7,2,163,39,
KA Pollard (WI),2008-2022,101,83,21,1569,75*,25.3,1161,135.14,0,6,3,94,99,
JW Jenner (JER),2019-2026,61,60,12,1541,96*,32.1,1090,141.37,0,8,5,124,63,
F du Plessis (SA/World),2012-2020,50,50,7,1528,119,35.53,1137,134.38,1,10,0,140,50,
LMP Simmons (WI),2007-2021,68,67,10,1527,91*,26.78,1264,120.8,0,9,6,140,68,
J Charles (WI),2011-2026,69,68,0,1525,118,22.42,1182,129.01,1,5,9,162,73,
JJ Roy (ENG),2014-2022,64,64,1,1522,78,24.15,1106,137.61,0,8,7,153,69,
NT Tilak Varma (IND),2023-2026,53,50,16,1501,120*,44.14,1046,143.49,2,7,4,117,75,
Mushfiqur Rahim (BAN),2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37,
Ahmer Bin (BHR),2022-2026,96,75,22,1499,68*,28.28,1170,128.11,0,7,1,122,50,
KJ Coetzer (SCOT),2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48,
Soumya Sarkar (BAN),2015-2026,89,88,4,1494,68,17.78,1224,122.05,0,5,13,149,55,
DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,
Zeeshan Ali (HKG),2022-2026,72,63,12,1472,101,28.86,1072,137.31,1,8,2,162,51,
Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33,
SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,
KIC Asalanka (SL),2021-2026,76,74,9,1456,80*,22.4,1156,125.95,0,6,7,99,68,
CR Ervine (ZIM),2010-2024,71,70,4,1449,70,21.95,1370,105.76,0,9,5,143,30,
A Vala (PNG),2015-2026,72,68,10,1447,93*,24.94,1257,115.11,0,8,1,124,42,
VP Thamotharam (MLT),2020-2025,66,63,8,1445,104*,26.27,995,145.22,1,9,3,100,90,
MH Cross (SCOT),2013-2026,89,76,14,1439,66*,23.2,1237,116.32,0,5,5,130,36,
IA Karim (KENYA),2013-2026,69,58,19,1434,71*,36.76,1410,101.7,0,9,2,127,16,
GH Dockrell (IRE),2010-2026,159,109,39,1426,58*,20.37,1066,133.77,0,2,9,105,56,
SI Runsewe (NGA),2019-2026,79,78,10,1424,80,20.94,1312,108.53,0,8,4,150,17,
AD Mathews (SL),2009-2024,90,73,22,1416,81*,27.76,1175,120.51,0,6,1,92,50,
Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150.0,0,4,8,103,73,
MP Stoinis (AUS),2015-2026,87,70,24,1416,78,30.78,968,146.28,0,6,2,116,66,
Haider Butt (BHR),2021-2024,63,59,14,1408,79*,31.28,1161,121.27,0,8,2,92,62,
HE van der Dussen (SA),2018-2025,57,53,11,1406,94*,33.47,1092,128.75,0,10,2,89,62,
SV Samson (IND),2015-2026,65,57,5,1405,111,27.01,904,155.42,3,6,8,116,84,
Taranjeet Singh (ROM),2021-2026,46,45,4,1395,110,34.02,875,159.42,1,7,1,175,62,
Ishan Kishan (IND),2021-2026,49,49,1,1390,103,28.95,955,145.54,1,10,3,141,70,
AR Patwa (TAN),2021-2025,57,57,5,1387,79,26.67,1128,122.96,0,6,3,169,42,
Manpreet Singh (SGP),2019-2026,60,57,5,1383,112*,26.59,1020,135.58,1,5,6,83,62,
Asghar Afghan (AFG),2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,
KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,
Zeeshan Maqsood (OMA),2015-2024,73,62,10,1369,102*,26.32,1149,119.14,1,5,4,137,49,
MWR Stokes (GUE),2019-2026,55,50,16,1368,100,40.23,1100,124.36,1,7,1,122,28,
Towhid Hridoy (BAN),2023-2026,62,56,10,1365,83*,29.67,1082,126.15,0,7,3,87,54,
DMW Rawlins (BER),2019-2026,45,42,9,1359,121,41.18,899,151.16,1,10,2,91,92,
JN Frylinck (NAM),2019-2026,84,65,13,1356,134,26.07,1067,127.08,2,3,3,111,45,
Adil Butt (SWZ),2022-2026,36,36,3,1355,116,41.06,815,166.25,3,10,2,140,78,
O Tuyisenge (RWN),2021-2025,92,87,6,1354,100*,16.71,1311,103.27,1,3,11,132,32,
I Liyanage (QAT),2020-2026,57,54,4,1345,86,26.9,1111,121.06,0,9,6,139,41,
HC Brook (ENG),2022-2026,65,56,12,1342,100,30.5,862,155.68,1,6,1,111,62,
TM Head (AUS),2016-2026,53,51,4,1335,91,28.4,852,156.69,0,6,2,149,60,
Asif Ali (BHR),2024-2026,57,55,5,1334,100*,26.68,981,135.98,1,8,7,114,82,
Aqib Ilyas (OMA),2015-2024,56,55,7,1330,90,27.7,1092,121.79,0,10,4,125,44,
H Lakov (BUL),2019-2026,50,49,12,1328,80,35.89,1172,113.31,0,9,0,113,18,
S Davizi (CZK-R),2019-2026,42,41,5,1326,115*,36.83,949,139.72,3,6,2,147,45,
HAM Shah (DEN),2019-2026,39,38,2,1322,100,36.72,1034,127.85,1,10,2,122,41,
V Saini (ROM),2020-2026,61,53,12,1317,91*,32.12,1006,130.91,0,6,4,117,32,
SA Edwards (NED),2018-2026,86,77,20,1316,99,23.08,1040,126.53,0,2,3,105,31,
I Danladi (NGA),2019-2026,63,58,6,1307,80,25.13,1120,116.69,0,5,1,119,37,
JJ Smit (NAM),2019-2026,74,64,25,1307,111*,33.51,901,145.06,1,4,3,77,78,
NS Dhaliwal (CAN),2019-2026,49,47,6,1305,70*,31.82,1015,128.57,0,10,3,107,56,
Sahibzada Farhan (PAK),2018-2026,46,45,2,1305,100*,30.34,955,136.64,2,10,4,109,69,
Asif Khan (UAE),2023-2025,56,56,10,1302,79,28.3,944,137.92,0,6,4,81,84,
Razmal Shigiwal (AUT),2019-2025,55,49,8,1301,95*,31.73,926,140.49,0,8,4,107,55,
Saim Ayub (PAK),2023-2026,67,64,3,1298,98*,21.27,955,135.91,0,6,10,136,59,
GJ Delany (IRE),2019-2026,93,79,16,1294,89*,20.53,963,134.37,0,4,5,100,61,
O Manishimwe (RWN),2022-2026,95,85,10,1279,89*,17.05,1379,92.74,0,6,11,123,28,
HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26,
T Marumani (ZIM),2021-2026,67,67,3,1276,86,19.93,987,129.28,0,7,5,139,44,
Zubaidi Zulkifle (MAS),2019-2026,71,70,3,1269,96,18.94,894,141.94,0,4,12,130,60,
GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20,
W Madhevere (ZIM),2020-2025,79,74,8,1256,73*,19.03,1096,114.59,0,7,7,139,16,
DJ Bravo (WI),2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55,
BN Cooper (NED),2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38,
Luqman Butt (CAM),2023-2025,45,41,6,1239,80*,35.4,838,147.85,0,6,1,105,71,
CS MacLeod (SCOT),2009-2022,64,61,9,1238,74,23.8,1115,111.03,0,7,8,107,23,
DK Kesuma (INA),2023-2026,85,78,9,1236,117*,17.91,1110,111.35,3,1,9,130,47,
MM Ali (ENG),2014-2024,92,75,17,1229,72*,21.18,863,142.41,0,7,9,88,68,
L Bruce (GIBR),2021-2026,51,50,4,1223,99*,26.58,1042,117.37,0,12,5,123,24,
SS Iyer (IND),2017-2026,55,51,11,1222,74*,30.55,894,136.68,0,9,4,101,46,
BRM Taylor (ZIM),2006-2026,59,57,7,1216,123,24.32,994,122.33,1,6,6,125,30,
RR Pant (IND),2017-2024,76,66,14,1209,65*,23.25,950,127.26,0,3,4,111,44,
NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64,
MS Wade (AUS),2011-2024,92,68,22,1202,80,26.13,896,134.15,0,3,1,95,46,
S Bau (PNG),2016-2026,65,57,7,1200,85,24.0,1072,111.94,0,6,6,100,36,
Aqib Iqbal (AUT),2019-2026,89,67,17,1198,66*,23.96,973,123.12,0,4,4,91,47,
Tanzid Hasan (BAN),2024-2026,50,50,5,1191,89,26.46,936,127.24,0,11,6,108,53,
Imran Anwar (BHR),2019-2026,104,70,6,1190,87,18.59,955,124.6,0,7,10,71,80,
S Muniandy (MAS),2019-2026,122,96,26,1188,60*,16.97,1027,115.67,0,1,7,80,45,
RG Mukasa (UGA),2019-2024,58,56,5,1186,89,23.25,982,120.77,0,5,8,133,36,
Yuvraj Singh (IND),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,
LA Dunbar (SRB),2019-2026,45,43,8,1170,117,33.42,942,124.2,2,5,3,101,63,
Saber Zakhil (BEL),2019-2025,56,51,10,1163,100*,28.36,688,169.04,1,3,4,62,98,
Hazratullah Zazai (AFG),2016-2024,45,45,3,1160,162*,27.61,874,132.72,1,3,3,110,66,
Shaheryar Butt (BEL),2019-2025,51,48,10,1153,125*,30.34,841,137.09,1,3,2,88,69,
DM Nakrani (UGA),2019-2025,82,70,25,1144,77*,25.42,915,125.02,0,3,3,70,68,
Usman Patel (KUW),2020-2026,64,61,13,1136,111*,23.66,895,126.92,1,7,7,111,39,
Kushal Malla (NEP),2019-2026,65,57,12,1133,137*,25.17,816,138.84,1,5,4,64,76,
AD Russell (WI),2011-2025,86,75,24,1122,71,22.0,685,163.79,0,3,9,65,95,
Afif Hossain (BAN),2018-2024,70,64,9,1117,77*,20.3,938,119.08,0,3,6,83,38,
NA Greenwood (JER),2019-2026,42,42,4,1115,86*,29.34,763,146.13,0,5,3,113,37,
IK Gamantika (INA),2022-2026,88,72,11,1111,78*,18.21,1160,95.77,0,1,4,79,29,
MJ Santner (NZ),2015-2026,138,92,38,1108,77*,20.51,848,130.66,0,2,6,90,43,
JDS Neesham (NZ),2012-2026,105,77,22,1105,48*,20.09,761,145.2,0,0,7,85,55,
S Chandramohan (SGP),2019-2025,51,49,4,1104,100,24.53,925,119.35,1,5,4,100,48,
Aizaz Khan (HKG),2014-2026,103,89,18,1096,48*,15.43,1013,108.19,0,0,9,76,28,
SPD Smith (AUS),2010-2024,67,55,11,1094,90,24.86,872,125.45,0,5,1,96,26,
HL Carlyon (JER),2019-2026,50,49,2,1089,110,23.17,861,126.48,1,6,4,115,35,
J Butler (GUE),2019-2026,47,45,6,1087,87,27.87,972,111.83,0,5,2,99,28,
N Nipiko (VAN),2019-2026,45,45,7,1086,100,28.57,925,117.4,1,6,3,84,43,
Zeeshan Khan (MLT),2020-2026,50,49,2,1086,115,23.1,905,120.0,1,5,3,116,28,
S Dube (IND),2019-2026,68,52,17,1083,66,30.94,701,154.49,0,6,2,69,68,
WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,
H Singh (GER),2019-2026,51,46,9,1074,83*,29.02,794,135.26,0,6,2,103,32,
Gulbadin Naib (AFG),2012-2026,85,72,20,1070,63,20.57,871,122.84,0,4,8,78,49,
BA Pai (GIBR),2019-2026,43,41,8,1070,107*,32.42,932,114.8,1,6,3,97,17,
C Campher (IRE),2021-2026,70,60,9,1067,72*,20.92,857,124.5,0,4,5,86,31,
LD Chandimal (SL),2010-2025,69,62,7,1066,66*,19.38,1030,103.49,0,6,0,90,22,
AP Rajeevan (TAN),2022-2025,55,50,10,1063,70,26.57,951,111.77,0,6,2,96,18,
RN Patel (KENYA),2019-2024,56,54,10,1054,75,23.95,874,120.59,0,3,6,110,23,
V Aravind (UAE),2020-2024,48,43,5,1052,97*,27.68,936,112.39,0,6,4,105,23,
Sarfaraz Ali (BHR),2019-2024,52,52,3,1050,69*,21.42,722,145.42,0,6,4,91,78,
AP Yadav (THA),2023-2026,44,44,8,1037,79*,28.8,984,105.38,0,6,3,107,19,
JP Inglis (AUS),2022-2026,49,46,7,1033,110,26.48,654,157.95,2,2,4,108,40,
J Baker (CAY),2024-2026,28,28,4,1031,94,42.95,787,131.0,0,10,0,92,54,
CJA Amini (PNG),2015-2024,59,51,9,1028,91*,24.47,891,115.37,0,5,6,75,30,
E Dusingizimana (RWN),2021-2024,62,60,3,1028,66*,18.03,966,106.41,0,4,7,104,35,
L Siaka (PNG),2015-2026,70,63,6,1019,85,17.87,885,115.14,0,3,8,71,34,
Samiullah Shinwari (AFG),2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,
MD Patel (USA),2019-2026,47,40,3,1011,104,27.32,733,137.92,1,7,2,106,33,
Shadab Khan (PAK),2017-2026,124,69,17,1009,52,19.4,700,144.14,0,1,6,73,50,
Rohan Mustafa (UAE),2014-2023,58,53,5,1006,77,20.95,827,121.64,0,4,7,108,27,
F Damiao Couana (MOZ),2019-2024,38,37,5,1005,104,31.4,800,125.62,1,5,3,100,38,
G Mckeon (Fran),2022-2026,33,33,4,1002,109,34.55,692,144.79,2,6,3,81,55,
V Vijh (LUX),2019-2026,53,52,8,1002,64*,22.77,912,109.86,0,2,4,73,34,
H Klaasen (SA),2018-2024,58,53,10,1000,81,23.25,705,141.84,0,5,2,72,52,
Iftikhar Ahmed (PAK),2016-2024,66,55,14,998,62*,24.34,773,129.1,0,4,2,66,44,
S Ravichandran (JPN),2022-2026,53,49,4,997,86*,22.15,825,120.84,0,5,3,90,23,
JJ Huo (MOZ),2019-2026,49,47,9,996,126,26.21,737,135.14,2,2,4,112,39,
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21.0,825,119.63,0,5,7,100,31,
Najmul Hossain Shanto (BAN),2019-2025,50,48,5,987,71,22.95,905,109.06,0,4,0,89,20,
Faheem Nazir (SUI),2022-2025,27,27,4,985,113,42.82,675,145.92,2,7,1,113,29,
ADS Fletcher (WI),2008-2024,60,57,7,984,84*,19.68,892,110.31,0,6,9,67,53,
CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44,
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26,
TC Barker (LUX),2019-2026,48,48,1,981,78,20.87,801,122.47,0,4,6,105,21,
Sabbir Rahman (BAN),2014-2022,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29,
MNM Aslam (KUW),2019-2026,78,54,8,976,55,21.21,845,115.5,0,4,4,87,24,
Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43,
Muhammad Muneeb (BEL),2020-2025,43,43,2,970,73,23.65,794,122.16,0,6,9,105,33,
N Davin (NAM),2019-2025,37,37,4,969,89,29.36,696,139.22,0,6,1,103,34,
V Balakrishnan (BOT),2019-2026,51,48,5,967,101,22.48,891,108.52,2,3,0,91,29,
T Stubbs (SA),2022-2026,52,43,11,967,76,30.21,727,133.01,0,2,3,75,37,
LS Livingstone (ENG),2017-2025,60,47,9,955,103,25.13,641,148.98,1,2,3,54,59,
Hamza Khan (RWN),2023-2026,42,41,8,949,164*,28.75,820,115.73,1,4,3,74,39,
P Baron (ARG),2019-2026,38,36,4,947,73,29.59,780,121.41,0,9,0,106,22,
M Levitt (NED),2024-2026,30,29,1,945,135,33.75,669,141.25,1,6,1,82,50,
D Kansonkho (MWI),2019-2026,64,60,5,937,54,17.03,1019,91.95,0,1,4,92,16,
G Gambhir (IND),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,
PR Surve (INA),2022-2025,39,36,12,928,71*,38.66,812,114.28,0,4,1,71,29,
Salman Agha (PAK),2024-2026,52,48,8,916,76,22.9,744,123.11,0,6,4,80,32,
SJ Myburgh (NED),2012-2022,45,44,2,915,71*,21.78,799,114.51,0,5,8,100,28,
SKS Gill (LUX),2022-2026,40,40,4,914,67*,25.38,888,102.92,0,3,4,81,13,
K Nassoro (TAN),2021-2026,79,63,13,913,60,18.26,930,98.17,0,2,4,84,16,
